Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA,PSCH,PSCD,PSCA
I1,23/09/18,Chievo,Udinese,0,2,A,0,0,D,10,9,4,7,18,10,7,3,1,1,0,0,3,3.2,2.5,3,3.2,2.45,3,3.15,2.5,2.9,3.1,2.5,3.04,3.21,2.57,2.8,3.2,2.55,3.1,3,2.55,40,3.1,2.97,3.3,3.16,2.6,2.52,39,2.3,2.21,1.72,1.65,20,0.25,1.78,1.74,2.21,2.15,2.9,3.09,2.81
I1,23/09/18,Frosinone,Juventus,0,2,A,0,0,D,2,18,0,8,16,8,3,5,3,1,0,0,13,7.5,1.16,15.5,7.25,1.18,16,6.9,1.18,19,7,1.18,16.77,7.56,1.19,15,7,1.18,21,7.5,1.17,40,21,15.54,7.65,7.1,1.21,1.18,36,1.57,1.53,2.6,2.47,22,2,1.97,1.92,2.02,1.94,18.51,7.16,1.19
I1,23/09/18,Lazio,Genoa,4,1,H,2,0,H,16,8,8,4,9,7,5,3,1,2,0,0,1.44,4.33,8,1.44,4.6,7.25,1.45,4.7,6.7,1.44,4.5,7,1.46,4.85,7.26,1.44,4.75,6.5,1.44,4.33,8.5,39,1.48,1.45,4.86,4.65,8.5,6.98,38,1.65,1.6,2.4,2.29,23,-1,1.76,1.71,2.29,2.17,1.48,4.44,7.67
I1,23/09/18,Milan,Atalanta,2,2,D,1,0,H,14,13,8,8,7,4,4,3,2,1,0,0,2.04,3.5,3.6,2.05,3.4,3.7,2,3.45,3.75,2,3.4,3.6,2.06,3.44,3.94,2.05,3.4,3.6,2.05,3.4,3.9,40,2.07,2.03,3.55,3.44,4.04,3.74,39,1.95,1.89,1.99,1.9,20,-0.25,1.79,1.75,2.18,2.12,2.19,3.27,3.79
I1,23/09/18,Torino,Napoli,1,3,A,0,2,A,9,13,3,8,14,17,4,6,2,3,0,0,4.5,3.8,1.75,4.4,3.8,1.78,4.4,3.75,1.77,4.33,3.7,1.8,4.69,3.84,1.8,4.33,3.7,1.8,4.75,3.7,1.8,40,4.75,4.43,3.9,3.74,1.85,1.8,39,1.83,1.77,2.12,2.03,20,0.75,1.89,1.84,2.06,2.02,4.46,3.5,1.93
I1,25/09/18,Inter,Fiorentina,2,1,H,1,0,H,11,11,3,8,18,20,6,3,1,3,0,0,1.66,3.8,5.5,1.67,3.7,5.5,1.75,3.6,4.9,1.61,3.8,5.2,1.66,3.98,5.66,1.67,3.9,5,1.65,3.9,6,36,1.8,1.67,4.04,3.83,6,5.37,35,1.88,1.81,2.06,1.98,22,-1,2.3,2.16,1.78,1.72,1.63,3.89,6.34
I1,26/09/18,Atalanta,Torino,0,0,D,0,0,D,11,3,4,0,13,15,11,1,2,1,0,0,1.8,3.6,4.5,1.85,3.6,4.25,1.83,3.7,4.25,1.83,3.6,4.2,1.83,3.84,4.52,1.88,3.7,4,1.83,3.6,4.6,40,1.88,1.84,3.84,3.68,4.6,4.3,39,1.85,1.79,2.1,2.01,21,-1,2.66,2.52,1.58,1.53,1.68,4.16,5.17
I1,26/09/18,Cagliari,Sampdoria,0,0,D,0,0,D,10,10,2,5,16,22,7,3,1,3,0,0,2.5,3.3,2.87,2.6,3.3,2.75,2.55,3.35,2.75,2.5,3.3,2.7,2.66,3.32,2.84,2.55,3.3,2.8,2.63,3.25,2.88,40,2.66,2.57,3.5,3.31,2.92,2.79,39,1.94,1.85,2.01,1.94,21,-0.25,2.28,2.21,1.73,1.7,2.31,3.35,3.4
I1,26/09/18,Genoa,Chievo,2,0,H,1,0,H,11,8,5,2,11,17,7,4,4,4,0,0,1.8,3.4,5,1.8,3.4,5,1.77,3.5,4.95,1.75,3.4,4.8,1.79,3.51,5.33,1.85,3.4,4.6,1.8,3.4,5.4,40,1.85,1.78,3.58,3.45,5.5,5.07,39,2.25,2.16,1.74,1.68,21,-1,2.61,2.48,1.6,1.55,1.76,3.69,5.31
I1,26/09/18,Juventus,Bologna,2,0,H,2,0,H,15,5,9,2,10,13,3,0,2,3,0,0,1.16,7.5,17,1.16,7.5,18.5,1.17,7.5,15,1.17,7,21,1.16,8.13,23.18,1.15,8,17,1.14,8,26,40,1.18,1.16,8.45,7.65,26,18.81,34,1.59,1.54,2.55,2.44,22,-2,1.94,1.9,2,1.96,1.13,9.25,25.76
